driverId,driverRef,driverRating,carRating,constructorStrategy,2021_Points,2021_Standings,2022_Points,2022_Standings,2023_Points,2023_Standings,2024_Points,2024_Standings,2025_Points,2025_Standings
1,hamilton,75,70,50,387.5,2.0,240.0,6.0,234.0,3.0,223.0,7.0,0,0
4,alonso,75,50,55,81.0,10.0,81.0,9.0,206.0,4.0,70.0,9.0,0,0
807,hulkenberg,70,40,30,0,0,0.0,22.0,9.0,16.0,41.0,11.0,0,0
815,perez,50,75,90,190.0,4.0,305.0,3.0,285.0,2.0,152.0,8.0,0,0
817,ricciardo,50,20,35,115.0,8.0,37.0,11.0,6.0,17.0,12.0,17.0,0,0
822,bottas,50,5,5,226.0,3.0,49.0,10.0,10.0,15.0,0.0,22.0,0,0
825,kevin_magnussen,50,40,30,0,0,25.0,13.0,3.0,19.0,16.0,15.0,0,0
830,max_verstappen,100,75,90,395.5,1.0,454.0,1.0,575.0,1.0,437.0,1.0,0,0
832,sainz,75,85,70,164.5,5.0,246.0,5.0,200.0,7.0,290.0,5.0,0,0
839,ocon,55,40,30,74.0,11.0,92.0,8.0,58.0,12.0,23.0,14.0,0,0
840,stroll,45,50,55,34.0,13.0,18.0,15.0,74.0,10.0,24.0,13.0,0,0
842,gasly,60,40,30,110.0,9.0,23.0,14.0,62.0,11.0,42.0,10.0,0,0
844,leclerc,75,85,70,159.0,7.0,308.0,2.0,206.0,5.0,356.0,3.0,0,0
846,norris,75,100,90,160.0,6.0,122.0,7.0,205.0,6.0,374.0,2.0,0,0
847,russell,75,70,50,16.0,15.0,275.0,4.0,175.0,8.0,245.0,6.0,0,0
848,albon,55,20,25,0,0,4.0,19.0,27.0,13.0,12.0,16.0,0,0
852,tsunoda,60,30,45,32.0,14.0,12.0,17.0,17.0,14.0,30.0,12.0,0,0
855,zhou,45,5,5,0,0,6.0,18.0,6.0,18.0,4.0,20.0,0,0
857,piastri,65,100,90,0,0,0,0,97.0,9.0,292.0,4.0,0,0
858,sargeant,15,20,25,0,0,0,0,1.0,21.0,0.0,23.0,0,0
