constructorResultsId,raceId,constructorId,points,status
16881,1120,6,18.0,\N
16880,1120,9,38.0,\N
16883,1120,1,18.0,\N
16882,1120,131,17.0,\N
16230,1052,131,41.0,\N
16231,1052,9,28.0,\N
16232,1052,1,18.0,\N
16233,1052,6,12.0,\N
16234,1052,213,2.0,\N
16235,1052,117,1.0,\N
16236,1052,51,0.0,\N
16237,1052,214,0.0,\N
16238,1052,3,0.0,\N
16239,1052,210,0.0,\N
16240,1053,9,25.0,\N
16241,1053,131,19.0,\N
16242,1053,1,23.0,\N
16243,1053,6,22.0,\N
16244,1053,117,4.0,\N
16245,1053,213,6.0,\N
16246,1053,51,0.0,\N
16247,1053,214,3.0,\N
16248,1053,210,0.0,\N
16249,1053,3,0.0,\N
16250,1054,131,41.0,\N
16251,1054,9,30.0,\N
16252,1054,1,12.0,\N
16253,1054,6,8.0,\N
16254,1054,214,10.0,\N
16255,1054,213,1.0,\N
16256,1054,51,0.0,\N
16257,1054,117,0.0,\N
16258,1054,3,0.0,\N
16259,1054,210,0.0,\N
16260,1055,131,40.0,\N
16261,1055,9,29.0,\N
16262,1055,6,18.0,\N
16263,1055,1,12.0,\N
16264,1055,214,2.0,\N
16265,1055,213,1.0,\N
16266,1055,117,0.0,\N
16267,1055,51,0.0,\N
16268,1055,3,0.0,\N
16269,1055,210,0.0,\N
16270,1056,6,18.0,\N
16271,1056,9,37.0,\N
16272,1056,1,15.0,\N
16273,1056,117,14.0,\N
16274,1056,213,8.0,\N
16275,1056,131,7.0,\N
16276,1056,214,2.0,\N
16277,1056,51,1.0,\N
16278,1056,3,0.0,\N
16279,1056,210,0.0,\N
16280,1057,9,25.0,\N
16281,1057,117,18.0,\N
16282,1057,213,21.0,\N
16283,1057,6,16.0,\N
16284,1057,1,12.0,\N
16285,1057,214,8.0,\N
16286,1057,51,1.0,\N
16287,1057,131,0.0,\N
16288,1057,210,0.0,\N
16289,1057,3,0.0,\N
16290,1059,9,41.0,\N
16291,1059,131,30.0,\N
16292,1059,1,18.0,\N
16293,1059,213,6.0,\N
16294,1059,214,4.0,\N
16295,1059,117,3.0,\N
16296,1059,6,0.0,\N
16297,1059,3,0.0,\N
16298,1059,51,0.0,\N
16299,1059,210,0.0,\N
16300,1058,9,37.0,\N
16301,1058,131,34.0,\N
16302,1058,1,10.0,\N
16303,1058,6,14.0,\N
16304,1058,117,4.0,\N
16305,1058,214,2.0,\N
16306,1058,213,1.0,\N
16307,1058,51,0.0,\N
16308,1058,210,0.0,\N
16309,1058,3,0.0,\N
16310,1060,9,34.0,\N
